staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.010395125,,0.005167333,0.010395125,0.566218083,0.566218083,0.570711958,0.854375083,28.51617058,left,-10,,0,0,27.90681321,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
1,1,12,28.54083937,,28.51633829,28.54083937,29.00765504,29.00765504,29.03492904,,29.20730275,right,12,,1,1,0.196390625,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
2,1,11,29.21854938,,29.20742896,29.21854938,29.701883,29.701883,29.70664983,29.98957983,30.25768638,right,11,,1,1,0.552766125,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
3,1,11,30.26818358,,30.25781,30.26818358,30.75646321,30.75646321,30.75646321,31.05192517,31.2867425,left,-11,,1,1,0.519461833,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
4,1,11,31.29515671,,31.28686367,31.29515671,31.78516887,31.78516887,31.78974221,32.07309271,32.35389496,left,-11,,0,0,0.563354666,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
5,1,12,32.362761,,32.35407796,32.362761,32.85183971,32.85183971,32.85650867,33.13984875,33.30737433,right,12,,1,1,0.452944042,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
6,1,12,33.31834208,,33.30749304,33.31834208,33.80638704,33.80638704,33.80638704,34.10202792,34.29065258,right,12,,1,1,0.481545792,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
7,0.5,12,34.30189471,,34.29077037,34.30189471,34.78978987,34.78978987,34.78978987,35.08526162,35.18738958,left,-12,,1,1,0.385595208,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
8,0.5,11.5,35.19594621,,35.18755521,35.19594621,35.68532567,35.68532567,35.68995783,35.97308608,36.10349304,left,-11.5,,0,0,0.413418291,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
9,0.5,12,36.11212792,,36.10363308,36.11212792,36.60206637,36.60206637,36.60683196,36.88931858,37.05383308,left,-12,,0,0,0.44816925,403058,1,2024-09-12_14h43.08.824,SESSION 3 ADAPTIVE STAIRCASE,2024.1.5,None,2024-09-12 14h43.12.031821 +0530
