study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,submit_text.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.038085582986241207,,0.013901832979172468,0.038085582986241207,0.038085582986241207,1.932504540978698,2.04,1.9016209169931244,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
marble,,,,0,1,1,3,,,,,1.9499813329894096,,1.9328432499896735,1.9499813329894096,1.9499813329894096,3.6278060829790775,1.048888888888889,1.6774022500030696,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Cruise,,,,0,2,2,11,,,,,3.6432187499885913,,3.628019832976861,3.6432187499885913,3.6432187499885913,4.475527999980841,1.48,0.8269294580095448,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
phone,,,,0,3,3,2,,,,,4.493804665980861,,4.47575399998459,4.493804665980861,4.493804665980861,6.077240665996214,1.0044444444444445,1.583000374987023,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
book,,,,0,4,4,0,,,,,6.092689082986908,,6.077454832993681,6.092689082986908,6.092689082986908,6.799237082974287,1.5733333333333333,0.7055787080025766,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Police,,,,0,5,5,12,,,,,6.816213874990353,,6.799449290992925,6.816213874990353,6.816213874990353,7.458986999990884,2.128888888888889,0.6374706659989897,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
board,,,,0,6,6,4,,,,,7.476349374977872,,7.459218040981796,7.476349374977872,7.476349374977872,8.016215332987485,1.5644444444444445,0.5399964160169475,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Poster,,,,0,7,7,14,,,,,8.032621499995003,,8.01642874997924,8.032621499995003,8.032621499995003,8.549046790983994,1.9022222222222223,0.5164037499926053,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Case,,,,0,8,8,10,,,,,8.565082165994681,,8.549259040999459,8.565082165994681,8.565082165994681,9.127690665976843,1.2622222222222221,0.5619178329943679,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Keys,,,,0,9,9,13,,,,,9.14453379099723,,9.127888374991016,9.14453379099723,9.14453379099723,9.725438333000056,2.5733333333333333,0.5776592910115141,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
Pastry,,,,0,10,10,9,,,,,9.741740790981567,,9.72565508299158,9.741740790981567,9.741740790981567,10.260666124988347,1.3244444444444445,0.518476291996194,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
T-shirt,,,,0,11,11,7,,,,,10.277613582991762,,10.260864040988963,10.277613582991762,10.277613582991762,10.725312458002008,2.1155555555555554,0.44538008398376405,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
laptop,,,,0,12,12,5,,,,,10.74196933300118,,10.725529290997656,10.74196933300118,10.74196933300118,11.175189790985314,2.7777777777777777,0.43089429201791063,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
cushion,,,,0,13,13,1,,,,,11.191162582981633,,11.175402415974531,11.191162582981633,11.191162582981633,11.627347374975216,1.5733333333333333,0.43540704098995775,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
chart,,,,0,14,14,6,,,,,11.642685124999844,,11.627569832984591,11.642685124999844,11.642685124999844,12.09478112499346,4.724444444444444,0.4511967909929808,,,,,,,,,,,,,,,,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
,ta_l_,Table,new,,,,,0,0,0,15,12.114546083001187,,,,,,,,12.101758915989194,12.114546083001187,12.114546083001187,12.114546083001187,0.008999832993140444,20.432128124986775,tails,[0.06222222222222222],[-0.2966666666666667],[1],[0],[0],[8.327852749993326],['submit_text'],,Prerna,001,2024-11-06_11h46.13.386,Session-7_word priming,2024.1.5,None,2024-11-06 11h46.24.752875 +0530,
